image_size,timesteps,channels,idg_stage_gb_total,gridder_gb_total,subfft_gb_total,host_joules_total,device_joules_total,host_gb_per_j,device_gb_per_j,host_event_count,device_event_count,gridder_event_count,subfft_event_count,n_runs
32768,8,256,134.13956192999999,83.4692288,50.670333129999996,65.28,88.11,2.054833975643382,1.5224101910112358,1.0,1.0,1.0,1.0,1
32768,64,1,325.10632158,198.32660249999998,126.77971907999999,64.02,52.95,5.078199337394564,6.139873873087818,1.0,1.0,1.0,1.0,1
32768,64,8,326.7495503,199.6946886,127.05486169999999,68.19,89.56,4.79175172752603,3.6483871181330954,1.0,1.0,1.0,1.0,1
32768,64,64,363.22652629,224.86370033999998,138.36282595,160.14,186.55,2.26818113082303,1.9470733116590724,3.0,3.0,3.0,3.0,1
32768,64,128,411.429477509,257.60415624,153.825321269,283.26,231.35999999999999,1.4524799742603969,1.7783085991917358,5.0,4.0,5.0,5.0,1
32768,64,256,574.808365085,363.9155148,210.892850285,520.09,530.8399999999999,1.105209415841489,1.0828279049902043,8.0,8.0,8.0,8.0,1
32768,128,1,390.1137396,238.06010599999996,152.0536336,77.5,102.79,5.033725672258064,3.7952499231442745,1.0,1.0,1.0,1.0,1
32768,128,8,394.6206763,241.53686080000003,153.08381550000001,88.34,115.19,4.46706674552864,3.425824084555951,1.0,1.0,1.0,1.0,1
32768,128,64,468.8564632,292.6584978,176.1979654,278.09,292.57000000000005,1.685988216764357,1.6025445643777556,5.0,5.0,5.0,5.0,1
32768,128,128,575.6146928339999,364.44473836,211.16995447399998,561.8,558.74,1.0245900548843003,1.0302013330600994,10.0,10.0,10.0,10.0,1
32768,128,256,832.5867090920001,534.5163682,298.07034089200005,1026.37,1135.38,0.8111954841743233,0.7333110580528105,16.0,16.0,16.0,16.0,1
32768,256,1,445.2281890400001,271.84723840000004,173.38095064,87.63,96.95,5.08077358256305,4.59234852026818,1.0,1.0,1.0,1.0,1
32768,256,8,465.149534516,285.45814255000005,179.691391966,137.37,166.32,3.386107115935066,2.7967143729918233,2.0,2.0,2.0,2.0,1
32768,256,64,610.1677972099999,385.5935015199999,224.57429569,557.6800000000001,563.11,1.0941181272593599,1.083567681643018,10.0,10.0,10.0,10.0,1
32768,256,128,784.9191859660001,514.9556884000001,269.963497566,1098.5,1058.96,0.7145372653309059,0.7412170298840373,19.0,19.0,19.0,18.0,1
32768,256,256,1264.8014124699998,824.9066476999999,439.89476477000005,2061.98,2194.29,0.6133916975285889,0.5764057679112605,32.0,32.0,32.0,32.0,1
