image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,wall_s_mean,wall_s_std,throughput_mvis_s_mean,throughput_mvis_s_std,gpu_sm_util_mean_pct,gpu_sm_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_mem_used_sum_mb_peak,gpu_sm_util_active_mean_pct,gpu_mem_util_active_mean_pct,gpu_mem_used_sum_mb_active_mean,cpu_power_sum_w_mean,other_s,n_runs
8192,256,128,2.5369050000000004,0.03198619999999999,4.066800000000001,6.635691200000001,2196.39,2196.39,,889.7231578947367,,0.10376044568245125,25.0,0.013459103570524183,20.5,53408.0,10.042892156862745,1.3026960784313726,39081.64705882353,234.79297100427894,2189.7543087999998,1
8192,256,256,5.011769999999999,0.0351574,7.7270600000000025,12.773987400000003,4174.0,4174.0,,952.4528124999999,,0.1074010056568196,25.0,0.01142791840466259,20.5,53000.0,11.42629179331307,1.21580547112462,40785.05775075988,235.71547670983867,4161.2260126,1
16384,1,1,0.012714,0.0,0.11859,0.131304,44.72,44.72,,1.08,,0.06459865685960985,24.25,0.007834985609210105,6.25,55836.0,3.3114754098360657,0.4016393442622951,23969.475409836065,233.40504731660843,44.588696,1
16384,1,8,0.011656,0.0010581,0.10053,0.11324409999999999,43.1,43.1,,10.18,,0.05065937600514635,25.0,0.007639112254744291,7.5,53350.0,3.5795454545454546,0.5397727272727273,22673.363636363636,233.1490858054227,42.9867559,1
16384,1,64,0.01266,0.001528,0.095369,0.10955699999999999,46.36,46.36,,86.53,,0.05763116057233704,25.0,0.0062798092209856915,6.75,52696.0,3.553921568627451,0.3872549019607843,24395.41176470588,233.26610161443494,46.250443,1
16384,1,128,0.016877,0.001683,0.097227,0.115787,50.19,50.19,,170.71,,0.04839987325728771,25.0,0.00697084917617237,7.5,52382.0,3.725609756097561,0.5365853658536586,25972.878048780487,233.27420389569588,50.074213,1
16384,1,256,0.02862,0.0017979,0.11449,0.1449079,62.14,62.14,,288.86,,0.045084485407066055,23.25,0.007142857142857143,7.75,53170.0,3.335227272727273,0.5284090909090909,26134.0,233.00400213284584,61.9950921,1
16384,8,1,0.06229900000000001,0.0087151,0.141642,0.21265610000000001,52.56,52.56,,7.16,,0.12144642299281475,25.0,0.04420493595751328,17.75,55776.0,5.553571428571429,2.0214285714285714,26568.628571428573,233.4672811918063,52.347343900000006,1
16384,8,8,0.06476399999999999,0.0077617,0.127313,0.19983869999999998,54.4,54.4,,63.96,,0.10851990049751244,24.0,0.04329912935323383,18.25,54358.0,6.232142857142857,2.486607142857143,25770.25,233.49706831530142,54.2001613,1
16384,8,64,0.08364100000000001,0.008189,0.13665,0.22848000000000002,80.21000000000001,80.21000000000001,,479.02,,0.09330108472588684,25.0,0.0390647903840516,19.25,54024.0,5.683035714285714,2.3794642857142856,28031.75,233.59873063482817,79.98152,1
16384,8,128,0.120585,0.0057721000000000005,0.172553,0.2989101,109.9,109.9,,761.32,,0.08939311098961181,25.0,0.037452159650082015,17.25,53898.0,6.411764705882353,2.6862745098039214,26068.901960784315,233.79753035665667,109.6010899,1
16384,8,256,0.21395799999999998,0.0089278,0.264834,0.4877198,173.63,173.63,,994.05,,0.09538758753924173,25.0,0.03718908476213475,17.75,52850.0,6.370967741935484,2.4838709677419355,28818.58064516129,233.4792734262374,173.1422802,1
16384,64,1,0.17628300000000002,0.0224404,0.249591,0.4483144,96.05,96.05,,32.44,,0.16211821266968326,25.0,0.08413461538461539,22.25,55304.0,7.6433333333333335,3.966666666666667,28395.2,233.67258260624823,95.6016856,1
16384,64,8,0.203005,0.0234821,0.274455,0.5009421000000001,125.56,125.56,,238.22,,0.14183835182250396,24.5,0.07600369783412572,21.25,54438.0,8.014925373134329,4.294776119402985,28839.701492537315,234.10549500525764,125.0590579,1
16384,64,64,0.4636261,0.0242538,0.6444721,1.132352,337.18,337.18,,743.1666666666666,,0.13450535252860835,24.5,0.05832410483573274,22.5,54476.0,9.109375,3.95,32287.85,234.91010109689213,336.047648,1
16384,64,128,0.817661,0.0253634,1.140751,1.9837754,565.05,565.05,,912.71,,0.13879540036460525,25.0,0.04788949656429673,20.5,54574.0,9.799504950495049,3.381188118811881,34247.544554455446,234.9806489272778,563.0662245999999,1
16384,64,256,1.5578349999999996,0.034658,2.112864,3.705357,1060.88,1060.88,,998.5825,,0.11323126142595978,25.0,0.029456124314442413,19.75,53994.0,9.831349206349206,2.5575396825396823,36003.93650793651,234.9397995096704,1057.174643,1
16384,128,1,0.22165700000000002,0.0259865,0.3090258,0.5566693,149.86,149.86,,52.37,,0.13489254108723137,24.0,0.07591656131479141,20.5,55432.0,6.0625,3.4119318181818183,28283.590909090908,234.25402989198693,149.3033307,1
16384,128,8,0.26843900000000004,0.0248904,0.353809,0.6471384,205.0,205.0,,367.48,,0.13228183283444622,25.0,0.06291733824545245,19.5,54746.0,8.574626865671641,4.0783582089552235,30319.283582089553,233.78551718606784,204.3528616,1
